연도,읍면동,구분,노지온주(극조생),노지온주(조생),노지온주(보통),하우스감귤(조기출하),비가림(월동)감귤,만감류(시설),만감류(노지),데이터기준일
2015,대천동,농가수,86.0,755.0,38.0,18.0,90.0,603.0,5.0,2024-05-13 00:00:00
2015,대천동,면적,83.1,520.1,27.5,6.7,70.4,176.7,0.8,2024-05-13 00:00:00
2015,대천동,생산량,1999.0,16123.0,700.0,533.0,1450.0,5391.0,12.4,2024-05-13 00:00:00
2015,중문동,농가수,149.0,1308.0,12.0,7.0,48.0,175.0,18.0,2024-05-13 00:00:00
2015,중문동,면적,67.7,556.7,9.0,1.5,31.3,55.8,3.7,2024-05-13 00:00:00
2015,중문동,생산량,1885.0,16993.0,258.0,122.0,635.0,1642.6,78.0,2024-05-13 00:00:00
2015,예래동,농가수,33.0,644.0,0.0,14.0,0.0,100.0,6.0,2024-05-13 00:00:00
2015,예래동,면적,29.3,576.6,0.0,5.0,0.0,41.6,1.4,2024-05-13 00:00:00
2015,예래동,생산량,1011.0,14119.0,0.0,376.0,0.0,1068.6,26.0,2024-05-13 00:00:00
2016,대정읍,농가수,54.0,679.0,0.0,0.0,126.0,217.0,16.0,2024-05-13 00:00:00
2016,대정읍,면적,40.4,489.4,0.0,0.0,65.6,69.9,4.0,2024-05-13 00:00:00
2016,대정읍,생산량,874.0,13633.0,0.0,0.0,1643.0,2584.0,114.0,2024-05-13 00:00:00
2016,남원읍,농가수,174.0,3481.0,210.0,434.0,675.0,1448.0,126.0,2024-05-13 00:00:00
2016,남원읍,면적,159.8,3267.1,194.2,185.0,549.1,630.3,33.0,2024-05-13 00:00:00
2016,남원읍,생산량,3514.0,86682.0,5657.0,15260.0,15538.0,25566.0,802.0,2024-05-13 00:00:00
2016,성산읍,농가수,73.0,1046.0,36.0,1.0,143.0,147.0,54.0,2024-05-13 00:00:00
2016,성산읍,면적,39.0,811.6,20.0,0.3,57.7,62.2,5.0,2024-05-13 00:00:00
2016,성산읍,생산량,833.0,19126.0,669.0,14.0,1599.0,1441.0,127.0,2024-05-13 00:00:00
2016,안덕면,농가수,235.0,934.0,29.0,20.0,144.0,151.0,22.0,2024-05-13 00:00:00
2016,안덕면,면적,78.0,728.1,10.0,7.3,66.7,51.9,16.0,2024-05-13 00:00:00
2016,안덕면,생산량,1554.0,16345.0,220.0,504.0,1783.0,1740.0,594.0,2024-05-13 00:00:00
2016,표선면,농가수,48.0,891.0,0.0,88.0,105.0,636.0,31.0,2024-05-13 00:00:00
2016,표선면,면적,38.0,929.0,0.0,34.6,63.0,263.1,8.1,2024-05-13 00:00:00
2016,표선면,생산량,969.0,24619.0,0.0,2536.0,1702.0,9451.0,219.0,2024-05-13 00:00:00
2016,송산동,농가수,34.0,274.0,18.0,34.0,23.0,90.0,0.0,2024-05-13 00:00:00
